searchval,blk_no,road_name,building,address,postal,x,y,latitude,longitude,query,category
how sun drive,,how sun drive,nil,how sun drive,nil,33075.7768562649,36303.5221611005,1.34459023124875,103.8789274989,how sun drive,condo
fragrance court,12,yew siang road,fragrance court,12 yew siang road fragrance court singapore 117752,117752,23526.4587218808,28861.3061428014,1.27728558824322,103.793122156661,fragrance court,condo
the belmont,1a,belmont road,the belmont,1a belmont road the belmont singapore 269853,269853,24129.9649059754,32840.8244128935,1.31327502508264,103.798544391395,the belmont,condo
riversails,10,upper serangoon crescent,riversails,10 upper serangoon crescent riversails singapore 534031,534031,35768.6466897428,40076.8775331024,1.37871453246915,103.903125576064,riversails,condo
kensington park drive,,kensington park drive,nil,kensington park drive,nil,31897.0856292069,38881.4659964435,1.36790432910871,103.8683366038,kensington park drive,condo
the tembusu,107c,tampines road,the tembusu,107c tampines road the tembusu singapore 534007,534007,34311.2470572535,38185.1631773449,1.36160690195093,103.890029372368,the tembusu,condo
1 jalan aruan singapore 229098,1,jalan aruan,nil,1 jalan aruan singapore 229098,229098,29073.8955360036,32838.2642862946,1.31325209714281,103.842968064456,jalan aruan,condo
silat avenue,,silat avenue,nil,silat avenue,nil,27691.0933622061,28773.7945461776,1.27649447910994,103.830542939595,silat avenue,condo
tan kim cheng road,,tan kim cheng road,nil,tan kim cheng road,nil,25632.2988752661,33774.5937643517,1.32172074181357,103.812044320123,tan kim cheng road,condo
suites @ paya lebar,420,upper paya lebar road,suites @ paya lebar,420 upper paya lebar road suites @ paya lebar singapore 534049,534049,33220.7760515939,36945.5586983096,1.35039657607709,103.880230544693,suites @ paya lebar,condo
the axis,47,mandalay road,the axis,47 mandalay road the axis singapore 308227,308227,29851.7543867053,34095.4876073133,1.32462194319897,103.849957588255,the axis,condo
m5,5,jalan mutiara,m5,5 jalan mutiara m5 singapore 249185,249185,27503.7715456067,30893.7473724075,1.2956665859268,103.82885975081,m5,condo
parc stevens,25,stevens drive,parc stevens,25 stevens drive parc stevens singapore 257922,257922,27267.1397178471,33242.9532519244,1.3169119711607,103.826733455519,parc stevens,condo
mendon spring,198,pasir panjang road,mendon spring,198 pasir panjang road mendon spring singapore 117526,117526,22930.48478607,29014.2262014784,1.27866845329676,103.787767087156,mendon spring,condo
suites @ shrewsbury,84,shrewsbury road,suites @ shrewsbury,84 shrewsbury road suites @ shrewsbury singapore 307842,307842,29734.7367877187,33385.2702845633,1.31819899592367,103.848906082215,suites @ shrewsbury,condo
prospero ville,127,lorong k telok kurau,prospero ville,127 lorong k telok kurau prospero ville singapore 425766,425766,37028.6668632608,32919.3237325009,1.3139838637399,103.91444563651,prospero ville,condo
twin vew,93,west coast vale,twin vew,93 west coast vale twin vew singapore 126756,126756,19027.8715300793,33550.021341376,1.31968768006034,103.752699363733,twin vew,condo
eastwood green,10,eastwood road,eastwood green,10 eastwood road eastwood green singapore 486364,486364,41513.1721783178,33845.6166542806,1.32235926711929,103.954741499799,eastwood green,condo
21 rhu cross singapore 437438,21,rhu cross,nil,21 rhu cross singapore 437438,437438,31867.5358153917,30703.8062401656,1.29394858976016,103.868070044794,rhu cross,condo
idyllic east,576,upper east coast road,idyllic east,576 upper east coast road idyllic east singapore 466588,466588,40552.9230887368,33152.1039896011,1.3160878054443,103.946112888683,idyllic east,condo
central boulevard,,central boulevard,nil,central boulevard,nil,30655.100463311,28787.2506358307,1.27661641863168,103.857175083123,central boulevard,condo
old upper thomson road,,old upper thomson road,nil,old upper thomson road,nil,27371.8381663409,39120.8099982076,1.37007517956729,103.827677980584,upper thomson road,condo
27 jalan sendudok singapore 769459,27,jalan sendudok,nil,27 jalan sendudok singapore 769459,769459,27310.3594928682,47199.1678311508,1.44312698059643,103.827121479812,jalan sendudok,condo
joo chiat verbena,275,joo chiat place,joo chiat verbena,275 joo chiat place joo chiat verbena singapore 427955,427955,36189.992701903,33001.9600195866,1.31473143131445,103.906909758761,joo chiat verbena,condo
amber point,1,amber road,amber point,1 amber road amber point singapore 439845,439845,35256.6566927247,31247.0976304021,1.29886131925695,103.898522862752,amber point,condo
dover rise,,dover rise,nil,dover rise,nil,22605.501673082,31897.514804018,1.30474390810361,103.784846499322,dover rise,condo
edenz loft,11,lorong 24 geylang,edenz loft,11 lorong 24 geylang edenz loft singapore 398623,398623,33588.312217393,32735.0137467552,1.3123178474915,103.883532317959,edenz loft,condo
edelweiss park condominium,100,flora road,edelweiss park condominium,100 flora road edelweiss park condominium singapore 509743,509743,42958.912099191,37609.5579298381,1.35639824853602,103.96773406082,edelweiss park condominium,condo
38 dalvey road singapore 259512,38,dalvey road,nil,38 dalvey road singapore 259512,259512,26373.0892208992,33091.3431613147,1.3155408286545,103.818699963699,d' dalvey,condo
mar thoma mansions,28,mar thoma road,mar thoma mansions,28 mar thoma road mar thoma mansions singapore 328708,328708,31324.113122643,34459.3180335984,1.32791217152286,103.863187561929,mansions 28,condo
teo kim eng road,,teo kim eng road,nil,teo kim eng road,nil,36360.6993844229,34487.0646713714,1.32816257852966,103.908443327003,teo kim eng road,condo
one amber,1,amber gardens,one amber,1 amber gardens one amber singapore 439957,439957,35217.0175899081,31525.1992594358,1.30137638010264,103.898166752118,one amber,condo
regency park,15,nathan road,regency park,15 nathan road regency park singapore 248741,248741,27265.1337677622,30925.9992105812,1.29595825548386,103.82671548586,regency park,condo
crane road,,crane road,nil,crane road,nil,35311.2004684226,32756.953173169,1.31251589201217,103.899013307424,crane road,condo
oasis garden,51,jalan bunga rampai,oasis garden,51 jalan bunga rampai oasis garden singapore 538420,538420,33533.0546836387,35664.4017864019,1.33881019635958,103.883036330141,oasis garden,condo
draycott eight,10,draycott park,draycott eight,10 draycott park draycott eight singapore 259405,259405,27873.5127340192,32632.185596928,1.31138841261308,103.832182029022,draycott eight,condo
fernvale rivergrove,471c,fernvale street,fernvale rivergrove,471c fernvale street fernvale rivergrove singapore 793471,793471,33362.4116005814,41982.9510203358,1.39595291069106,103.8815041411,fernvale street,condo
zedge,2,akyab road,zedge,2 akyab road zedge singapore 309973,309973,29653.0414717104,33852.1973982286,1.32242172407521,103.848172032797,zedge,condo
parry court,35,parry avenue,parry court,35 parry avenue parry court singapore 547261,547261,33260.4311056379,38445.731138505,1.36396358971437,103.880587133601,parry court,condo
regent residences,1091,serangoon road,regent residences,1091 serangoon road regent residences singapore 328190,328190,31476.4118098821,34052.5411824528,1.32423340916268,103.864556003087,regent residences,condo
the foliage,370,pasir panjang road,the foliage,370 pasir panjang road the foliage singapore 118707,118707,21433.9191696178,30365.0710294489,1.2908847377725,103.774319608719,the foliage,condo
306a serangoon avenue 2 singapore 551306,306a,serangoon avenue 2,nil,306a serangoon avenue 2 singapore 551306,551306,31718.808205408,37382.8312997501,1.35435133753441,103.866734472157,serangoon avenue 2,condo
hillview residence,138,hillview avenue,hillview residence,138 hillview avenue hillview residence singapore 669599,669599,19922.3132407162,37555.1709032953,1.35590905178528,103.76073531599,hillview residence,condo
emerald hill road,,emerald hill road,nil,emerald hill road,nil,28698.2833549836,31815.2491652962,1.30400047956478,103.839592987726,emerald hill road,condo
fragrant gardens,357,upper paya lebar road,fragrant gardens,357 upper paya lebar road fragrant gardens singapore 534959,534959,33192.4127715565,36581.859150786,1.34710741271184,103.879975620168,fragrant gardens,condo
lorong 1 realty park (road),,lorong 1 realty park (road),nil,lorong 1 realty park (road),nil,34332.9669414155,38822.4988144001,1.36737131442731,103.890223540921,lorong 1 realty park,condo
5 meyer place singapore 437994,5,meyer place,nil,5 meyer place singapore 437994,437994,33906.8403708404,31272.6307026222,1.2990925168201,103.886394172271,meyer place,condo
one-north gateway,,one-north gateway,nil,one-north gateway,nil,23090.7197284051,31627.2217996982,1.3022955707661,103.789208241219,one-north gateway,condo
20 jalan rama rama singapore 329100,20,jalan rama rama,nil,20 jalan rama rama singapore 329100,329100,29793.6595018888,34377.2268728986,1.32716989679005,103.849435590944,jalan rama rama,condo
crystal heights,75,pasir panjang hill,crystal heights,75 pasir panjang hill crystal heights singapore 118885,118885,22701.5083670197,29333.9673443735,1.28156004152174,103.785709595421,crystal heights,condo
dairy farm heights,,dairy farm heights,nil,dairy farm heights,nil,21188.5175940718,38627.532007147,1.36560719087225,103.77211278179,dairy farm heights,condo
telok blangah market,82,telok blangah drive,telok blangah market,82 telok blangah drive telok blangah market singapore 100082,100082,25171.1488284729,28485.903418839,1.27389076775628,103.807900337544,telok blangah drive,condo
oxley garden,17,oxley garden,oxley garden,17 oxley garden oxley garden singapore 238748,238748,28985.0051570497,31177.3139464371,1.29823105071511,103.842169287766,oxley garden,condo
va residences,9,boon teck road,va residences,9 boon teck road va residences singapore 329583,329583,29820.8707824666,34328.2166812532,1.32672666436714,103.84968009627,va residences,condo
the morningside,1,jalan kuala,the morningside,1 jalan kuala the morningside singapore 239639,239639,28281.6290342482,30862.7646707911,1.29538639198638,103.835849138309,the morningside,condo
draycott park (road),,draycott park (road),nil,draycott park (road),nil,27725.4187193844,32609.4038393793,1.31118326203664,103.830851088307,draycott park,condo
14 cove way singapore 098273,14,cove way,nil,14 cove way singapore 098273,098273,28614.7518646205,24931.7774455063,1.24174861334108,103.838842278019,cove way,condo
15 lorong 30 geylang singapore 398349,15,lorong 30 geylang,nil,15 lorong 30 geylang singapore 398349,398349,33915.1913075484,32830.776077928,1.31318382679314,103.886469505104,lorong 30 geylang,condo
sunny palms,65,lorong g telok kurau,sunny palms,65 lorong g telok kurau sunny palms singapore 426323,426323,36627.1610906757,33300.959300207,1.3174353531319,103.910838016448,sunny palms,condo
10b lengkong tiga singapore 417415,10b,lengkong tiga,nil,10b lengkong tiga singapore 417415,417415,36830.8055379884,34021.1550388802,1.32394848458334,103.912668070911,lengkong tiga,condo
the lanai,142,hillview avenue,the lanai,142 hillview avenue the lanai singapore 669629,669629,20026.2398459408,37560.3419764377,1.35595584509131,103.761669162181,the lanai,condo
the daffodil,568,upper east coast road,the daffodil,568 upper east coast road the daffodil singapore 466584,466584,40504.2561360253,33144.7861597128,1.31602164556244,103.94567558931,the daffodil,condo
alba,8,cairnhill rise,alba,8 cairnhill rise alba singapore 229743,229743,28712.1192767015,32192.8659112118,1.30741535240087,103.83971731014,alba,condo
balmeg hill,,balmeg hill,nil,balmeg hill,nil,22402.5153977952,29454.2071168266,1.28264736511971,103.783023154032,balmeg hill,condo
park place residences at plq,2,paya lebar road,park place residences at plq,2 paya lebar road park place residences at plq singapore 409053,409053,34613.7707721666,33124.1389756929,1.31583675363618,103.892746648427,park place residences at plq,condo
11a lorong 108 changi singapore 426404,11a,lorong 108 changi,nil,11a lorong 108 changi singapore 426404,426404,35956.3636094676,33189.2478603739,1.31642525645375,103.904810533859,lorong 108 changi,condo
holiday inn express & suites singapore novena,201,balestier road,holiday inn express & suites singapore novena,201 balestier road holiday inn express & suites singapore novena singapore 329926,329926,30136.8994058184,33590.154780902,1.32005187342709,103.852519734445,novena suites,condo
cascata,7,teo kim eng road,cascata,7 teo kim eng road cascata singapore 416378,416378,36378.7611919185,34513.5921605621,1.32840203522441,103.90860634862,cascata,condo
the regalia,2,river valley close,the regalia,2 river valley close the regalia singapore 238428,238428,28400.9789932556,30842.4709865507,1.29520286174263,103.836921549212,the regalia,condo
serenity breeze,98,lorong j telok kurau,serenity breeze,98 lorong j telok kurau serenity breeze singapore 425927,425927,36779.1625463143,32877.0774061028,1.31360187547893,103.91220370573,serenity breeze,condo
hong heng garden,33,sembawang road,hong heng garden,33 sembawang road hong heng garden singapore 779084,779084,26240.7183385119,42873.8360915463,1.40401019766297,103.817509968397,hong heng garden,condo
zyanya (u/c),8,lorong 25a geylang,zyanya (u/c),8 lorong 25a geylang zyanya (u/c) singapore 388222,388222,33559.6078777146,32907.9439997338,1.31388177226647,103.883274426427,zyanya,condo
marine view mansions,97,marine parade,marine view mansions,97 marine parade marine view mansions singapore 449273,449273,36029.3490407495,31791.1090959702,1.30378097367831,103.905465982943,marine view mansions,condo
the nclave,81,lorong n telok kurau,the nclave,81 lorong n telok kurau the nclave singapore 425231,425231,37102.4630830223,32557.9682284407,1.3107158736674,103.91510862562,the nclave,condo
riviera residences,13,riviera drive,riviera residences,13 riviera drive riviera residences singapore 467204,467204,40128.9234219082,33133.4547649175,1.31591931917753,103.942303036419,riviera residences,condo
gaia,91,nanyang avenue,gaia,91 nanyang avenue gaia singapore 639956,639956,11305.8867253941,36018.976414606,1.34201272078881,103.683312109507,gaia,condo
signature residence,11,green lane,signature residence,11 green lane signature residence singapore 438916,438916,34576.9039745145,32597.1573068742,1.31107092788673,103.892415269833,signature residence,condo
rivervale crest,9,rivervale crescent,rivervale crest,9 rivervale crescent rivervale crest singapore 545086,545086,35894.2805848494,41518.4788822941,1.39175181491889,103.904254875951,rivervale crescent,condo
sarhad ville,55a,lorong sarhad,sarhad ville,55a lorong sarhad sarhad ville singapore 119166,119166,23015.8539996734,29220.8940874171,1.28053749822744,103.788534128918,sarhad ville,condo
upper bukit timah road,,upper bukit timah road,nil,upper bukit timah road,nil,20673.7402719576,37836.5353907067,1.35845380457902,103.767487304038,upper bukit timah road,condo
nomu,20,handy road,nomu,20 handy road nomu singapore 229236,229236,29518.4854830438,31351.8169843871,1.2998091733077,103.846962853661,nomu,condo
thomson grand,43,sin ming walk,thomson grand,43 sin ming walk thomson grand singapore 573926,573926,27475.3650428876,38652.0983422939,1.36583036322451,103.828604372407,thomson grand,condo
waterview,83,tampines avenue 1,waterview,83 tampines avenue 1 waterview singapore 528686,528686,38288.5083043352,36769.606974123,1.34880402007706,103.925767225328,waterview,condo
wan tho lodge,25j,wan tho avenue,wan tho lodge,25j wan tho avenue wan tho lodge singapore 347554,347554,32216.1657510577,35045.5171359442,1.33321343691728,103.871203224731,wan tho lodge,condo
kew green,41,kew crescent,kew green,41 kew crescent kew green singapore 466204,466204,41036.8480966967,33422.0186133273,1.31852861115375,103.950461305573,kew green,condo
k suites,21,lorong k telok kurau,k suites,21 lorong k telok kurau k suites singapore 425617,425617,36298.9955809442,32765.7001248114,1.31259475279896,103.907889140249,k suites,condo
seascape,55,cove way,seascape,55 cove way seascape singapore 098307,098307,28440.5604052953,24714.6450398248,1.23978494620582,103.83727712151,seascape,condo
guillemard suites,213,guillemard road,guillemard suites,213 guillemard road guillemard suites singapore 399733,399733,33498.0340816546,32583.2336408813,1.31094521852726,103.882721097721,suites @ guillemard,condo
public mansions,432,balestier road,public mansions,432 balestier road public mansions singapore 329813,329813,29707.3310050778,34292.4267881941,1.32640299982338,103.848659877472,public mansion,condo
euro-asia lodge,96,joo chiat terrace,euro-asia lodge,96 joo chiat terrace euro-asia lodge singapore 427253,427253,35644.6450561937,32956.2041507456,1.31431777216437,103.90200952862,euro-asia lodge,condo
isuites @ palm,26,glasgow road,isuites @ palm,26 glasgow road isuites @ palm singapore 549345,549345,33057.7094686115,38117.9272706434,1.36099908465504,103.878765486537,isuites @ palm,condo
the jovell,11,flora drive,the jovell,11 flora drive the jovell singapore 506852,506852,42718.4138694601,37812.12665301,1.35823032280321,103.965573132382,the jovell,condo
orchid mansion,11,amber road,orchid mansion,11 amber road orchid mansion singapore 439857,439857,35356.1594202528,31268.3998438586,1.29905394548315,103.899416943562,11 amber road,condo
bartley ridge,46,mount vernon road,bartley ridge,46 mount vernon road bartley ridge singapore 368063,368063,33357.3499159319,35916.6283755358,1.3410912750043,103.88145756434,bartley ridge,condo
duchess manor,20,duchess road,duchess manor,20 duchess road duchess manor singapore 268988,268988,25077.3533108821,34088.670076929,1.32456020379876,103.807057027769,duchess manor,condo
simei street 4,,simei street 4,nil,simei street 4,nil,41666.0194499099,36000.5433106088,1.34185040635726,103.956113471357,simei street 4,condo
yishun close,,yishun close,nil,yishun close,nil,29281.1795418849,46249.3807944721,1.4345374303698,103.844831194221,yishun close,condo
hyll on holland,87,holland road,hyll on holland,87 holland road hyll on holland singapore 275749,275749,24558.1888936833,32533.5691764988,1.31049636845377,103.802392230378,hyll on holland,condo
birchwood mansions,3,jalan ampas,birchwood mansions,3 jalan ampas birchwood mansions singapore 329504,329504,29949.8989595361,34241.9921549652,1.32594687231998,103.850839479307,birchwood mansions,condo
marina collection,13,cove drive,marina collection,13 cove drive marina collection singapore 098327,098327,28650.6285057208,25067.3016464375,1.24297424636053,103.839164641252,marina collection,condo
the waterline,161,poh huat road west,the waterline,161 poh huat road west the waterline singapore 546692,546692,32805.7261735303,38812.1129742097,1.36727709259952,103.876501360155,the waterline,condo
ji xiang court,169,telok kurau road,ji xiang court,169 telok kurau road ji xiang court singapore 423822,423822,36606.3586924337,32873.4910132494,1.31356949026847,103.910650977421,ji xiang court,condo
morimasa gardens,11,gilstead road,morimasa gardens,11 gilstead road morimasa gardens singapore 309065,309065,28585.5226478362,33151.9987780899,1.31608941426119,103.838579797187,morimasa gardens,condo
upper serangoon road,,upper serangoon road,nil,upper serangoon road,nil,33483.2119332943,37764.9113534512,1.35778430325026,103.882565934846,upper serangoon road,condo
the beccagayle,15,lorong n telok kurau,the beccagayle,15 lorong n telok kurau the beccagayle singapore 425142,425142,36471.9583720071,32438.9348725434,1.30963955864522,103.909443205926,the beccagayle,condo
mint residences @ jansen,20,jansen road,mint residences @ jansen,20 jansen road mint residences @ jansen singapore 548411,548411,32908.3196254121,37992.7838076763,1.35986735718564,103.877423098448,residences @ jansen,condo
vivace,19,tong watt road,vivace,19 tong watt road vivace singapore 238011,238011,28821.7168610869,30592.79635166,1.29294488391215,103.840702054687,vivace,condo
faber crest,50j,faber heights,faber crest,50j faber heights faber crest singapore 129203,129203,19694.0907366052,33905.7675221581,1.32290510804328,103.758685588343,faber crest,condo
2 lew lian vale singapore 537014,2,lew lian vale,nil,2 lew lian vale singapore 537014,537014,32940.4075321872,36845.1945439633,1.34948896622805,103.877711240773,lew lian vale,condo
jalan kayu estate,250,jalan kayu,jalan kayu estate,250 jalan kayu jalan kayu estate singapore 799475,799475,32454.3152760565,42204.1351285856,1.3979533737844,103.873344203729,jalan kayu estate,condo
kartar apartments,43a,thomson road,kartar apartments,43a thomson road kartar apartments singapore 307583,307583,29282.6007901942,33022.96009803,1.31492241285227,103.844843392551,advance apartments,condo
affluence court,8,ah soo garden,affluence court,8 ah soo garden affluence court singapore 539960,539960,33535.92372528,36918.2920575887,1.35014992973273,103.88306233961,affluence court,condo
de paradiso,20,martaban road,de paradiso,20 martaban road de paradiso singapore 328644,328644,29926.50680234,34035.8825014494,1.32408289110494,103.85062927516,de paradiso,condo
sunglade,1,serangoon avenue 2,sunglade,1 serangoon avenue 2 sunglade singapore 556130,556130,32267.9062964441,36711.4483146649,1.34827951654326,103.871668377219,sunglade,condo
lewis road,,lewis road,nil,lewis road,nil,26819.604069054,33600.9729134263,1.32014976000227,103.822712105555,lewis road,condo
filling station at old toh tuck road,50,old toh tuck road,filling station at old toh tuck road,50 old toh tuck road filling station at old toh tuck road singapore 597657,597657,19711.933410327,35153.8073553089,1.33419193367473,103.758845576093,toh tuck road,condo
sunset way,,sunset way,nil,sunset way,nil,20599.6517886196,34456.7835589766,1.32788175789822,103.766813263949,sunset way,condo
saint martin's,1,saint martin's drive,saint martin's,1 saint martin's drive saint martin's singapore 257988,257988,27014.5470979856,32004.2643491272,1.30570969876777,103.82446382138,st martin's,condo
ceylon lane,,ceylon lane,nil,ceylon lane,nil,35438.3055312186,32579.4662046045,1.3109107527057,103.900155393422,ceylon lane,condo
bukit batok east avenue 2,,bukit batok east avenue 2,nil,bukit batok east avenue 2,nil,19471.585883878,37050.2718007129,1.35134266244518,103.756683680517,bukit batok east avenue 2,condo
lincoln road,,lincoln road,nil,lincoln road,nil,29056.6495820457,33040.9471992728,1.31508479331837,103.842813069518,lincoln road,condo
the levelz,38,farrer road,the levelz,38 farrer road the levelz singapore 268836,268836,24848.0495435884,32869.2673885319,1.31353233527505,103.804996735084,the levelz,condo
the hillshore (u/c),290,pasir panjang road,the hillshore (u/c),290 pasir panjang road the hillshore (u/c) singapore 119476,119476,22082.6820732346,29906.8818286657,1.28674116675747,103.780149097748,the hillshore,condo
bagnall haus (u/c),815,upper east coast road,bagnall haus (u/c),815 upper east coast road bagnall haus (u/c) singapore 466610,466610,41523.3756972365,33615.2069553975,1.32027552345902,103.954833082378,bagnall court,condo
cairnhill methodist church,16,winstedt road,cairnhill methodist church,16 winstedt road cairnhill methodist church singapore 227988,227988,28949.8458368964,32368.4710064493,1.30900345657234,103.84185340188,cairnhill 16,condo
chancery esquire,8,chancery lane,chancery esquire,8 chancery lane chancery esquire singapore 309494,309494,28357.9610754177,33325.0717748795,1.31765462879831,103.836535043005,chancery esquire,condo
fifty-two stevens,52,stevens road,fifty-two stevens,52 stevens road fifty-two stevens singapore 257848,257848,27248.9829532579,33034.227203628,1.31502432605995,103.826570312809,fifty-two stevens,condo
the jtc summit,8,jurong town hall road,the jtc summit,8 jurong town hall road the jtc summit singapore 609434,609434,17823.0620960118,34824.6963040344,1.33121499776718,103.741873113544,the summit,condo
ritz regency,8,ipoh lane,ritz regency,8 ipoh lane ritz regency singapore 438611,438611,34838.6027475456,32630.0201043002,1.31136807031033,103.89476676733,ritz regency,condo
balmoral road,,balmoral road,nil,balmoral road,nil,27650.8432115718,32837.3066058314,1.31324355521211,103.830181342875,balmoral road,condo
villa chancerita,16,chancery hill road,villa chancerita,16 chancery hill road villa chancerita singapore 309657,309657,28556.0668146582,34196.6291342843,1.32553668245596,103.838315140395,villa chancerita,condo
breezy mansions,15,sandilands road,breezy mansions,15 sandilands road breezy mansions singapore 546079,546079,32974.1522781216,38255.3060817402,1.36224150337995,103.878014692236,breezy mansions,condo
chapel court,27,sea avenue,chapel court,27 sea avenue chapel court singapore 424247,424247,36247.5390703175,31980.0217826609,1.30548937473146,103.907426569866,chapel court,condo
verdor residence,142,joo chiat terrace,verdor residence,142 joo chiat terrace verdor residence singapore 427286,427286,35822.1947483122,32991.281868415,1.3146349577614,103.903604909248,verdor residences,condo
woodleigh close,,woodleigh close,nil,woodleigh close,nil,31987.1164834498,35313.1506766814,1.33563399451561,103.869144076835,woodleigh close,condo
8 hullet,8,hullet road,8 hullet,8 hullet road 8 hullet singapore 229160,229160,28600.9422786571,31705.8484536242,1.3030109404897,103.838718322482,8 hullet,condo
landbay condominium,5,jalan hajijah,landbay condominium,5 jalan hajijah landbay condominium singapore 468700,468700,39433.2529224018,32892.9568075966,1.31374461098387,103.936052006289,landbay condominium,condo
viz at holland,221,queensway,viz at holland,221 queensway viz at holland singapore 276750,276750,24506.6816539159,32306.2870381046,1.30844090346115,103.801929438373,viz at holland,condo
the treeline,112,lorong g telok kurau,the treeline,112 lorong g telok kurau the treeline singapore 426315,426315,36954.218610594,33320.1282867081,1.31760861676838,103.913776798528,the treeline,condo
luma,6,river valley grove,luma,6 river valley grove luma singapore 238403,238403,28142.2919148728,31018.9754646569,1.29679910840731,103.83459713454,luma,condo
seaview point,15,amber road,seaview point,15 amber road seaview point singapore 439865,439865,35400.7329611145,31321.1384154707,1.29953088366934,103.899817468941,seaview point,condo
sing lian building,386,changi road,sing lian building,386 changi road sing lian building singapore 419835,419835,36642.8114543362,33402.2572218496,1.31835145049718,103.910978671222,sing lian building,condo
the park vale,4b,park vale,the park vale,4b park vale the park vale singapore 288564,288564,25585.5274837287,34689.632206725,1.32999513668172,103.811623198198,the park vale,condo
the coterie @ holland,72,holland road,the coterie @ holland,72 holland road the coterie @ holland singapore 258870,258870,24808.6004329063,32579.5354078263,1.3109120977357,103.804642295068,the coterie @ holland,condo
east 25 apartments,10,lorong 25a geylang,east 25 apartments,10 lorong 25a geylang east 25 apartments singapore 388224,388224,33558.8471524799,32946.1242765393,1.3142270612182,103.88326759779,east 25 apartments,condo
shell commonwealth/stirling road,355,commonwealth avenue,shell commonwealth/stirling road,355 commonwealth avenue shell commonwealth/stirling road singapore 149731,149731,24662.7778229276,31098.7348101586,1.29752024517663,103.80333216638,stirling road,condo
wan tho lodge,25c,wan tho avenue,wan tho lodge,25c wan tho avenue wan tho lodge singapore 347554,347554,32197.258824761,35041.7502248343,1.33317937293918,103.871033334759,wan tho avenue,condo
sky eden@bedok (u/c),1,bedok central,sky eden@bedok (u/c),1 bedok central sky eden@bedok (u/c) singapore 469657,469657,39023.0755238216,34131.4748778939,1.3249454636451,103.932366806338,sky eden@bedok,condo
pine court,28,lorong l telok kurau,pine court,28 lorong l telok kurau pine court singapore 425440,425440,36476.2967123808,32618.7362605073,1.31126561633996,103.909482237087,pine court,condo
13 lorong 13 geylang singapore 388651,13,lorong 13 geylang,nil,13 lorong 13 geylang singapore 388651,388651,32906.3228162583,32820.3287806679,1.31308952252541,103.877404321963,lorong 13 geylang,condo
leonie parc view,22,leonie hill road,leonie parc view,22 leonie hill road leonie parc view singapore 239195,239195,28105.7109983275,31260.5677306596,1.29898398400724,103.834268439755,leonie parc view,condo
varsity park condominium,30,west coast road,varsity park condominium,30 west coast road varsity park condominium singapore 127450,127450,20748.9298178125,30791.9607438985,1.29474522456387,103.768164598257,varsity park condominium,condo
greenlane apartment,3d,green lane,greenlane apartment,3d green lane greenlane apartment singapore 438898,438898,34662.9451978924,32587.2866147049,1.3109816423988,103.893188389798,greenlane apartment,condo
highline residences,11,kim tian road,highline residences,11 kim tian road highline residences singapore 168594,168594,27610.2710505184,29622.0471471883,1.28416577731538,103.829816710958,highline residences,condo
hillview heights,29a,hillview avenue,hillview heights,29a hillview avenue hillview heights singapore 669562,669562,20460.8547368031,38120.0453938767,1.36101771299356,103.765574316514,hillview heights,condo
euphony gardens,5,jalan mata ayer,euphony gardens,5 jalan mata ayer euphony gardens singapore 759151,759151,27063.0340772653,45152.9228270352,1.42462147471379,103.82489908534,euphony gardens,condo
the lenox,398,changi road,the lenox,398 changi road the lenox singapore 419845,419845,36678.3863539062,33422.1337224692,1.31853119632694,103.911298335327,the lenox,condo
bartley road,,bartley road,nil,bartley road,nil,33044.6431950082,36174.5475957022,1.34342036064538,103.87865319723,bartley road,condo
ah hood road,,ah hood road,nil,ah hood road,nil,29506.5309455593,34437.90693839,1.32771861428245,103.846855352744,ah hood road,condo
east elegance,190,joo chiat terrace,east elegance,190 joo chiat terrace east elegance singapore 427336,427336,36042.1013963092,33023.7216404993,1.31492827462524,103.905580887804,east elegance,condo
mount sinai,62,mount sinai drive,mount sinai,62 mount sinai drive mount sinai singapore 277115,277115,22175.1135641392,33290.8870838024,1.3173449231304,103.780979000295,mount sinai drive,condo
equatorial apartments,50,meyer road,equatorial apartments,50 meyer road equatorial apartments singapore 437873,437873,34084.4802918192,31164.5391017664,1.29811494062684,103.887990324645,equatorial apartments,condo
fontana heights,39,mount sinai rise,fontana heights,39 mount sinai rise fontana heights singapore 276957,276957,21725.8955213167,33072.4706799835,1.31536955463919,103.776942592447,fontana heights,condo
kandis residence,8,kandis link,kandis residence,8 kandis link kandis residence singapore 756970,756970,28407.6762386728,48623.5904651117,1.45600894690582,103.836981971114,kandis link,condo
ventana,93,pasir panjang hill,ventana,93 pasir panjang hill ventana singapore 118902,118902,22601.8424042556,29464.3407819793,1.28273907583061,103.784814036453,ventana,condo
sunshine mansions,289,joo chiat place,sunshine mansions,289 joo chiat place sunshine mansions singapore 427970,427970,36288.1925743399,33019.6026522033,1.31489095859612,103.907792137947,sunshine mansions,condo
latitude,31,jalan mutiara,latitude,31 jalan mutiara latitude singapore 249206,249206,27469.7283573514,30933.9108983092,1.29602981016717,103.82855385728,latitude,condo
wilkie 48,48,wilkie road,wilkie 48,48 wilkie road wilkie 48 singapore 228059,228059,29674.8874494946,31651.6812634468,1.30252103215856,103.848368211637,wilkie 48,condo
echelon,9,alexandra view,echelon,9 alexandra view echelon singapore 158742,158742,26280.3625868848,30334.2832233794,1.29060694545576,103.817866920135,echelon,condo
