Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
NOUVEL 18,"7,713,000","2,475.72","3,115",Apr-21,ANDERSON ROAD,Resale,Strata,230,"33,535",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
ROYALGREEN,"4,058,000","1,431.61","2,835",Apr-21,ANAMALAI AVENUE,New Sale,Strata,133,"30,511",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
LEEDON GREEN,"1,917,000",699.66,"2,740",Apr-21,LEEDON HEIGHTS,New Sale,Strata,65,"29,492",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
LEEDON GREEN,"1,790,000",710.42,"2,520",Apr-21,LEEDON HEIGHTS,New Sale,Strata,66,"27,121",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
CITYVALE,"1,081,500",721.19,"1,500",Apr-21,SOPHIA ROAD,Resale,Strata,67,"16,142",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
FOURTH AVENUE RESIDENCES,"1,688,000",710.42,"2,376",Apr-21,FOURTH AVENUE,New Sale,Strata,66,"25,576",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,01 to 05
FOURTH AVENUE RESIDENCES,"1,600,000",645.84,"2,477",Apr-21,FOURTH AVENUE,New Sale,Strata,60,"26,667",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,06 to 10
THE AVENIR,"5,072,000","1,528.49","3,318",Apr-21,RIVER VALLEY CLOSE,New Sale,Strata,142,"35,718",-,Condominium,1,Freehold,09,Core Central Region,31 to 35
YONG AN PARK,"2,000,000","1,022.58","1,956",Apr-21,RIVER VALLEY ROAD,Resale,Strata,95,"21,053",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
VISIONCREST,"1,953,160","1,011.82","1,930",Apr-21,OXLEY RISE,Resale,Strata,94,"20,778",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
THE SCOTTS TOWER,"2,800,000","1,227.1","2,282",Apr-21,SCOTTS ROAD,Resale,Strata,114,"24,561",-,Condominium,1,103 yrs lease commencing from 2010,09,Core Central Region,26 to 30
SCOTTS 28,"5,060,000","2,217.38","2,282",Apr-21,SCOTTS ROAD,Resale,Strata,206,"24,563",-,Condominium,1,Freehold,09,Core Central Region,26 to 30
THE SERENADE @ HOLLAND,"2,250,000","1,786.82","1,259",Apr-21,HOLLAND ROAD,Resale,Strata,166,"13,554",-,Condominium,1,99 yrs lease commencing from 2001,10,Core Central Region,06 to 10
ASTRID MEADOWS,"2,500,000","1,377.79","1,814",Apr-21,CORONATION ROAD WEST,Resale,Strata,128,"19,531",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
LOFT @ STEVENS,"880,000",409.03,"2,151",Apr-21,STEVENS ROAD,Resale,Strata,38,"23,158",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
ALLSWORTH PARK,"3,380,000","1,959.05","1,725",Apr-21,HOLLAND ROAD,Resale,Strata,182,"18,571",-,Condominium,1,999 yrs lease commencing from 1885,10,Core Central Region,01 to 05
MACKENZIE 88,"802,000",505.91,"1,585",Apr-21,MACKENZIE ROAD,Resale,Strata,47,"17,064",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
DUCHESS RESIDENCES,"2,778,888","1,463.9","1,898",Apr-21,DUCHESS AVENUE,Resale,Strata,136,"20,433",-,Condominium,1,999 yrs lease commencing from 1875,10,Core Central Region,01 to 05
LEEDON GREEN,"3,640,000","1,356.26","2,684",Apr-21,LEEDON HEIGHTS,New Sale,Strata,126,"28,889",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
TANGLIN REGENCY,"1,550,000","1,108.69","1,398",Apr-21,TANGLIN ROAD,Resale,Strata,103,"15,049",-,Condominium,1,99 yrs lease commencing from 1994,10,Core Central Region,01 to 05
IRWELL HILL RESIDENCES,"3,136,000","1,270.15","2,469",Apr-21,IRWELL HILL,New Sale,Strata,118,"26,576",-,Apartment,1,99 yrs lease commencing from 2020,09,Core Central Region,01 to 05
ROYALGREEN,"2,177,000",775.01,"2,809",Apr-21,ANAMALAI AVENUE,New Sale,Strata,72,"30,236",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
URBANA,"3,150,000","1,313.21","2,399",Apr-21,RIVER VALLEY CLOSE,Resale,Strata,122,"25,820",-,Condominium,1,Freehold,09,Core Central Region,31 to 35
LOFT @ NATHAN,"775,000",387.5,"2,000",Apr-21,NATHAN ROAD,Resale,Strata,36,"21,528",-,Apartment,1,Freehold,10,Core Central Region,06 to 10
JERVOIS REGENCY,"1,880,000","1,270.15","1,480",Apr-21,JERVOIS ROAD,Resale,Strata,118,"15,932",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
THE MARQ ON PATERSON HILL,"11,500,000","3,089.27","3,723",Apr-21,PATERSON HILL,Resale,Strata,287,"40,070",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
GLENTREES,"2,160,000","1,442.38","1,498",Apr-21,MOUNT SINAI LANE,Resale,Strata,134,"16,119",-,Condominium,1,999 yrs lease commencing from 1885,10,Core Central Region,01 to 05
SPRING GROVE,"2,145,000","1,388.56","1,545",Apr-21,GRANGE ROAD,Resale,Strata,129,"16,628",-,Condominium,1,99 yrs lease commencing from 1991,10,Core Central Region,11 to 15
STEVENS SUITES,"2,100,000","1,130.22","1,858",Apr-21,STEVENS CLOSE,Resale,Strata,105,"20,000",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
LANGSTON VILLE,"1,580,000",936.47,"1,687",Apr-21,KIM YAM ROAD,Resale,Strata,87,"18,161",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
LEEDON GREEN,"3,717,000","1,496.2","2,484",Apr-21,LEEDON HEIGHTS,New Sale,Strata,139,"26,741",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
THE MARBELLA,"2,560,000","1,474.67","1,736",Apr-21,MOUNT SINAI RISE,Resale,Strata,137,"18,686",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
FOURTH AVENUE RESIDENCES,"1,168,000",516.67,"2,261",Apr-21,FOURTH AVENUE,New Sale,Strata,48,"24,333",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,01 to 05
IRWELL HILL RESIDENCES,"1,800,000",678.13,"2,654",Apr-21,IRWELL HILL,New Sale,Strata,63,"28,571",-,Apartment,1,99 yrs lease commencing from 2020,09,Core Central Region,16 to 20
BOULEVARD 88,"6,437,000","1,776.06","3,624",Apr-21,ORCHARD BOULEVARD,New Sale,Strata,165,"39,012",-,Apartment,1,Freehold,10,Core Central Region,16 to 20
